País,Clics,Impresiones,CTR,Posición
México,46,2410,1.91%,7.47
Estados Unidos,0,283,0%,6.67
España,0,47,0%,8.98
Brasil,0,17,0%,7.94
Francia,0,12,0%,5.33
Colombia,0,9,0%,5.22
Canadá,0,9,0%,8
Reino Unido,0,8,0%,5.38
Perú,0,8,0%,5.5
Venezuela,0,7,0%,8.29
Chile,0,7,0%,11
Alemania,0,5,0%,6.4
Ucrania,0,5,0%,6.4
Guatemala,0,5,0%,7.4
República Dominicana,0,4,0%,5.25
Polonia,0,4,0%,6.5
Indonesia,0,4,0%,6.75
Argentina,0,4,0%,8.75
La India,0,4,0%,8.75
El Salvador,0,4,0%,10
Ecuador,0,3,0%,7
Japón,0,3,0%,7
Italia,0,3,0%,7.33
Rusia,0,3,0%,10.67
Puerto Rico,0,2,0%,5.5
Corea del Sur,0,2,0%,7
Países Bajos,0,2,0%,7
Paraguay,0,2,0%,7
China,0,2,0%,8
Nueva Zelanda,0,2,0%,9.5
Uruguay,0,2,0%,9.5
Nicaragua,0,2,0%,11
Vietnam,0,2,0%,11.5
Panamá,0,2,0%,15
Myanmar (Birmania),0,1,0%,1
Grecia,0,1,0%,3
Bahamas,0,1,0%,4
Irlanda,0,1,0%,4
Marruecos,0,1,0%,4
Rumanía,0,1,0%,4
Azerbaiyán,0,1,0%,5
Malasia,0,1,0%,5
Portugal,0,1,0%,5
Arabia Saudí,0,1,0%,5
Suiza,0,1,0%,7
Singapur,0,1,0%,7
Serbia,0,1,0%,7
Etiopía,0,1,0%,8
Honduras,0,1,0%,8
Australia,0,1,0%,9
Siria,0,1,0%,9
Bolivia,0,1,0%,10
Cuba,0,1,0%,10
Suecia,0,1,0%,10
Camerún,0,1,0%,11
Costa Rica,0,1,0%,11
Hong Kong,0,1,0%,11
Laos,0,1,0%,11
Turquía,0,1,0%,11
Túnez,0,1,0%,12
