Informe de palabras clave negativas
Todo el período
Palabra clave negativa	Palabra clave o lista	Campaña	Grupo de anuncios	Nivel	Tipo de concordancia
[cartera prestamo]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[financiera alpha crédito]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[macropay préstamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[rapidayuda]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[como pedir prestamo en klar]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[financiera monte]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[empeños benito juárez distrito federal]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[www montedepiedad com mx]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[hola creditea mx]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[préstamo feliz liquidación]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[pezetita prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[nexu financiera]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[super crédito]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos para adquirir vehiculo]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[empeño facil sur 16]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[autos monte de piedad]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[préstamos compartamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[préstamos seguros en línea]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[crezu préstamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[credito pro mujer]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[banjeauto]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos financiero]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[pedir un prestamo en santander]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[hsbc préstamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamo en coopel]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[financieras confiables en mexico]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[bienestar familiar prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[cash movil]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos usa]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos confiables mexico]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[presto dinero privado]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[afirme prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos colombianos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[cash ya]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos con prenda]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[mi crédito]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos autos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamas]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[caja popular mexicana prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamo feliz en 15 minutos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[préstamo feliz ciudad de méxico cdmx]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos de dineros rapidos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[préstamo santander]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[financieras monterrey]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[financiera maestra]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[crédito amigo]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[necesito un prestamo urgente pero estoy en buro de credito]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[auto dinero]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[creditos para compra de autos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[santander prestamos nomina]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[coppel credito personal]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[vivus prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[pedir prestamo santander]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[donde sacar un credito]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos online santander]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[ocupo dinero]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[pedir un prestamo rapido]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamo automotriz]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos express]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
"""kavak"""	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia de frase
[empeño]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[financiacion particulares]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamo rápido]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[crédito personal]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
Negativas	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia amplia
[prestamos internet]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamo personal]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos personales]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
"""veracruz"""	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia de frase
[easy credit]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[empeños gustavo a madero]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[empeño fácil neza 3 nezahualcóyotl méx]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[cashclick prestamo]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[auxi prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[kaby prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[financiera super prestamo]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[financiera ok dinero]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[préstamos monte de piedad opiniones]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamo oxxo cash cash]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[préstamos de 500 pesos sin buró]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[bancos y sociedades de ahorro y préstamo ciudad valles]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos exitus credit]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[préstamo provident]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[aval prestamo]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[financieras confiables en linea]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[casa de empeño plaza oriente]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[go prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[payjoy prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos sat]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamos kuesky]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[presta max temixco]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[money man]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[kubo financiero prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[tala mexico prestamos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[los mejores prestamos en linea]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[pedir prestamo online bbva]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[compartamos prestamo individual]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[empeños méxico df]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[creditos con buro]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
"""crédito autos"""	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia de frase
[empeños distrito federal]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[créditos chevrolet]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
[prestamo de 5000 pesos]	Palabra clave	Search-empeño-2025	 --	Campaña	Concordancia exacta
