id,organization,opportunity_url,channel,region,priority,relevance_score,authority_confidence,destination_url,angle,status,legal_review,source_url,backlink_url,notes
BL-001,Motorpasión México,https://www.motorpasion.com.mx/contacto,media_automotive,México,P1,5,high,https://swip.mx/empeno-de-autos/,Fuente experta sobre valuación y liquidez sin vender autos de alto valor,qualified,no,https://www.motorpasion.com.mx/quienes-somos,,Verificado 2026-08-08: medio activo equipo identificable y canal explícito para enviar noticias; preparar aporte no promocional
BL-002,Autocosmos México,https://www.autocosmos.com.mx/institucional/nosotros,media_automotive,México,P1,5,high,https://swip.mx/blog/como-valuamos-un-auto-proceso-real/,Contenido técnico sobre valuación especializada y mercado secundario,research,no,https://www.autocosmos.com.mx/institucional/nosotros,,Verificado 2026-08-08: encaje temático confirmado pero solo se halló contacto de atención/comercial; falta canal editorial
BL-003,El Financiero,https://www.elfinanciero.com.mx/tags/finanzas-personales/,media_finance,México,P1,5,high,https://swip.mx/empeno-de-autos/,Fuente sobre liquidez respaldada por vehículos y decisiones financieras,research,no,https://www.elfinanciero.com.mx/tags/finanzas-personales/,,Verificado 2026-08-08: vertical relevante activa; falta identificar periodista y vía editorial vigente
BL-004,El Economista,https://www.eleconomista.com.mx/finanzaspersonales,media_finance,México,P1,5,high,https://swip.mx/empeno-de-autos/,Datos y explicación responsable sobre préstamos con garantía vehicular,research,no,https://www.eleconomista.com.mx/finanzaspersonales,,Verificado 2026-08-08: vertical relevante activa; falta contacto editorial concreto y revisión legal del ángulo
BL-005,Expansión,https://expansion.mx/finanzas-personales,media_finance,México,P1,5,high,https://swip.mx/empeno-de-autos/,Liquidez para propietarios y empresarios con activos vehiculares,research,no,https://expansion.mx/autor/jose-avila,,Verificado 2026-08-08: vertical y reportero de economía/finanzas personales identificados; falta vía de contacto editorial pública
BL-006,Forbes México,https://forbes.com.mx/,media_business,México,P1,4,high,https://swip.mx/blog/prestamo-con-garantia-de-auto-para-financiar-tu-negocio/,Uso estratégico de activos para capital de trabajo,research,no,https://forbes.com.mx/,,Requiere ángulo con datos propios o caso verificable
BL-007,Entrepreneur en Español,https://www.entrepreneur.com/es,media_business,México,P2,4,high,https://swip.mx/blog/prestamo-con-garantia-de-auto-para-financiar-tu-negocio/,Alternativas de capital de trabajo para emprendedores con vehículos,research,no,https://www.entrepreneur.com/es,,Confirmar edición y canal aplicable a México
BL-008,Alto Nivel,https://www.altonivel.com.mx/,media_business,México,P2,4,medium,https://swip.mx/empeno-de-autos/,Liquidez privada y valuación de activos para ejecutivos y empresarios,research,no,https://www.altonivel.com.mx/,,Calificar cobertura y contacto editorial vigente
BL-009,Dinero en Imagen,https://www.dineroenimagen.com/,media_finance,México,P2,4,medium,https://swip.mx/blog/necesito-liquidez-urgente-tengo-un-auto/,Educación financiera para comparar venta empeño y crédito,research,no,https://www.dineroenimagen.com/,,Aportar criterios y riesgos; no promesas comerciales
BL-010,Mexico Business News,https://mexicobusiness.news/,media_business,México,P2,4,high,https://swip.mx/financiamiento-con-inventario-vehicular/,Financiamiento no bancario para empresas del ecosistema automotriz,research,no,https://mexicobusiness.news/,,Mejor encaje B2B que consumidor
BL-011,Líder Empresarial,https://www.liderempresarial.com/directorio/,media_business,Bajío,P1,5,medium,https://swip.mx/prestamo-con-garantia-de-auto-en-queretaro/,Liquidez y valuación vehicular para empresarios del Bajío,qualified,no,https://www.liderempresarial.com/categoria/queretaro/,,Verificado 2026-08-08: cobertura vigente de Querétaro negocios y financiamiento más directorio editorial público; preparar aporte regional
BL-012,El Universal Autopistas,https://www.eluniversal.com.mx/autopistas/,media_automotive,México,P2,4,high,https://swip.mx/blog/por-que-libro-azul-no-sirve-autos-de-lujo/,Diferencias entre guía de precios y valuación de autos premium,research,no,https://www.eluniversal.com.mx/autopistas/,,Buscar piezas recientes sobre usados lujo o blindaje
BL-013,Excélsior Autos,https://www.excelsior.com.mx/temas/autos,media_automotive,México,P2,4,high,https://swip.mx/blog/que-baja-la-valuacion-de-un-auto-exotico-o-de-lujo/,Factores reales que cambian el valor de autos premium,research,no,https://www.excelsior.com.mx/temas/autos,,Confirmar contacto editorial de la sección
BL-014,Transportes y Turismo,https://www.tyt.com.mx/,media_automotive,México,P2,3,medium,https://swip.mx/financiamiento-con-inventario-vehicular/,Capital respaldado por inventario para empresas vehiculares,research,no,https://www.tyt.com.mx/,,Encaje B2B sujeto a cobertura de vehículos ligeros
BL-015,México Industry,https://mexicoindustry.com/,media_business,México,P2,4,medium,https://swip.mx/capital-de-trabajo-para-blindadoras/,Capital de trabajo para blindadoras y cadena automotriz,research,no,https://mexicoindustry.com/,,Buscar directorio o colaboración sectorial legítima
BL-016,AMDA,https://www.amda.mx/servicios-y-productos/,association,México,P1,5,high,https://swip.mx/financiamiento-para-lotes-y-agencias-de-autos/,Servicio financiero especializado para lotes y agencias,legal_review,yes,https://www.amda.mx/asociaciones-de-marca/,,Revisado 2026-08-08: encaje sectorial plausible pero elegibilidad y relación comercial no confirmadas; no declarar afiliación
BL-017,AMBA,https://amba.com.mx/,association,México,P1,5,high,https://swip.mx/prestamo-con-garantia-de-autos-blindados/,Valuación y liquidez que reconoce el valor del blindaje,legal_review,yes,https://amba.com.mx/,,Verificado 2026-08-08: asociación y contacto activos; cualquier colaboración o claim de certificación requiere relación real y aprobación
BL-018,ASOFOM,https://asofom.mx/formulario-afiliacion/,association,México,P1,5,high,https://swip.mx/,Afiliación o aliado solo si la estructura jurídica de SWIP cumple,legal_review,yes,https://asofom.mx/nosotros/,,Verificado 2026-08-08: afiliación orientada a SOFOM/IFNB; no avanzar ni presentar a SWIP como SOFOM sin confirmación jurídica
BL-019,Clúster Automotriz de Querétaro,https://autoqro.mx/,association,Querétaro,P1,5,high,https://swip.mx/financiamiento-con-inventario-vehicular/,Solución de liquidez para empresas de la cadena automotriz regional,legal_review,yes,https://autoqro.mx/,,Verificado 2026-08-08: asociación y vía para asociarse activas; confirmar categoría elegible y relación antes de usar nombre o logo
BL-020,AMIA,https://amia.com.mx/,association,México,P2,3,high,https://swip.mx/financiamiento-con-inventario-vehicular/,Datos o colaboración sobre ecosistema y financiamiento vehicular,research,yes,https://amia.com.mx/,,Encaje indirecto; no solicitar membresía sin elegibilidad
BL-021,ANPACT,https://www.anpact.com.mx/,association,México,P3,2,high,https://swip.mx/financiamiento-con-inventario-vehicular/,Financiamiento de inventario para empresas con vehículos de trabajo,research,yes,https://www.anpact.com.mx/,,Baja prioridad por enfoque en vehículos pesados
BL-022,Industria Nacional de Autopartes,https://ina.com.mx/,association,México,P3,2,medium,https://swip.mx/financiamiento-con-inventario-vehicular/,Capital de trabajo respaldado por inventario vehicular,research,yes,https://ina.com.mx/,,Confirmar dominio oficial y encaje antes de avanzar
BL-023,COPARMEX,https://coparmex.org.mx/,association,México,P2,4,high,https://swip.mx/blog/prestamo-con-garantia-de-auto-para-financiar-tu-negocio/,Contenido educativo sobre liquidez para empresarios,research,yes,https://coparmex.org.mx/,,Priorizar centros empresariales de CDMX Estado de México y Querétaro
BL-024,CANACINTRA,https://canacintra.org.mx/,association,México,P2,3,high,https://swip.mx/capital-de-trabajo-para-blindadoras/,Capital de trabajo para empresas industriales con activos vehiculares,research,yes,https://canacintra.org.mx/,,Verificar sector y delegación con encaje real
BL-025,CANACO Ciudad de México,https://www.ccmexico.com.mx/,association,CDMX,P2,4,high,https://swip.mx/prestamo-con-garantia-de-auto-en-cdmx/,Servicio local para empresarios y propietarios de vehículos de valor,research,yes,https://www.ccmexico.com.mx/,,Validar afiliación y perfil empresarial
BL-026,Google Business Profile,https://www.google.com/business/,local_profile,CDMX y Querétaro,P1,5,high,https://swip.mx/,Perfil local oficial con NAP consistente,research,no,https://www.google.com/business/,,Comprobar si ya existe ficha antes de crear o reclamar
BL-027,Apple Business Connect,https://businessconnect.apple.com/,local_profile,CDMX y Querétaro,P2,4,high,https://swip.mx/,Presencia local en Apple Maps con NAP consistente,research,no,https://businessconnect.apple.com/,,Comprobar duplicados antes de reclamar
BL-028,Bing Places,https://www.bingplaces.com/,local_profile,CDMX y Querétaro,P2,4,high,https://swip.mx/,Presencia local en Bing Maps con NAP consistente,research,no,https://www.bingplaces.com/,,Importar desde Google solo después de validar la ficha
BL-029,SIEM,https://siem.economia.gob.mx/,regulatory_directory,México,P2,4,high,https://swip.mx/,Directorio empresarial oficial sujeto a registro válido,legal_review,yes,https://siem.economia.gob.mx/,,Confirmar cámara y datos legales antes de cualquier alta
BL-030,SIPRES CONDUSEF,https://www.gob.mx/tramites/ficha/sistema-de-registro-de-prestadores-de-servicios-financieros-sipres/CONDUSEF5011,regulatory_directory,México,P1,5,high,https://swip.mx/,Referencia regulatoria solo si la entidad está registrada,legal_review,yes,https://www.gob.mx/condusef/articulos/vas-a-contratar-un-servicio-financiero?idiom=es,,Bloqueado hasta confirmar naturaleza jurídica y registro de SWIP; la consulta pública usa una aplicación separada
